,hike_name,region,length,elevation gain,rating,number_votes,features,which_pass,lat,long,numReports,url
34,Pack Forest - Little Mashel Falls,Puget Sound and Islands,NR,NR,4.00 out of 5,(5 votes) Log in to rate,[],NR,46.8432,-122.3176,68,http://www.wta.org/go-hiking/hikes/little-mashel-falls
35,Watershed Park,Olympic Peninsula,NR,NR,4.00 out of 5,(1 vote) Log in to rate,[],NR,47.0285,-122.8891,6,http://www.wta.org/go-hiking/hikes/watershed-park
36,Rattlesnake Ledge,Snoqualmie Region,NR,NR,3.96 out of 5,(223 votes) Log in to rate,[],NR,47.4335,-121.7675,1075,http://www.wta.org/go-hiking/hikes/rattle-snake-ledge
37,Big Creek,Olympic Peninsula,NR,NR,3.72 out of 5,(18 votes) Log in to rate,[],NR,47.4933,-123.2110,122,http://www.wta.org/go-hiking/hikes/big-creek
38,Chambers Bay Loop,Puget Sound and Islands,NR,NR,4.71 out of 5,(7 votes) Log in to rate,[],NR,47.2117,-122.5696,43,http://www.wta.org/go-hiking/hikes/chambers-bay-loop
39,Swan Creek Park,Puget Sound and Islands,NR,NR,4.33 out of 5,(3 votes) Log in to rate,[],NR,47.2268,-122.3891,22,http://www.wta.org/go-hiking/hikes/swan-creek-park
40,Point Defiance Park,Puget Sound and Islands,NR,NR,4.22 out of 5,(9 votes) Log in to rate,[],NR,47.3050,-122.5168,63,http://www.wta.org/go-hiking/hikes/point-defiance-park
41,Tacoma Nature Center Interpretive Walks,Puget Sound and Islands,NR,NR,3.00 out of 5,(5 votes) Log in to rate,[],NR,47.2414,-122.4921,16,http://www.wta.org/go-hiking/hikes/the-tacoma-nature-center
42,Hardy and Rodney Falls,Southwest Washington,NR,NR,3.00 out of 5,(4 votes) Log in to rate,[],NR,45.6325,-122.0200,11,http://www.wta.org/go-hiking/hikes/hardy-rodney-falls
43,Beacon Rock,Southwest Washington,NR,NR,2.92 out of 5,(12 votes) Log in to rate,[],NR,45.6291,-122.0219,36,http://www.wta.org/go-hiking/hikes/beacon-rock
44,Hamilton Mountain,Southwest Washington,NR,NR,4.37 out of 5,(19 votes) Log in to rate,[],NR,45.6325,-122.0200,62,http://www.wta.org/go-hiking/hikes/hamilton-mountain
45,Whipple Creek Park,Southwest Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,45.7451,-122.6950,11,http://www.wta.org/go-hiking/hikes/whipple-creek-park
46,Little Spokane River Natural Area: Knothead Loop,Eastern Washington,NR,NR,4.00 out of 5,(1 vote) Log in to rate,[],NR,47.7828,-117.4966,10,http://www.wta.org/go-hiking/hikes/little-spokane-river-natural-area-knothead-loop
47,Ingalls Creek,Central Cascades,NR,NR,3.58 out of 5,(19 votes) Log in to rate,[],NR,47.4628,-120.6732,268,http://www.wta.org/go-hiking/hikes/ingalls-creek
48,Snoqualmie Falls,Snoqualmie Region,NR,NR,3.35 out of 5,(17 votes) Log in to rate,[],NR,47.5437,-121.8370,95,http://www.wta.org/go-hiking/hikes/snoqualmie-falls
49,North Twentymile Peak,North Cascades,NR,NR,3.33 out of 5,(3 votes) Log in to rate,[],NR,48.7029,-120.1050,7,http://www.wta.org/go-hiking/hikes/north-twentymile-peak
50,Hoh River Trail to Five Mile Island,Olympic Peninsula,NR,NR,3.61 out of 5,(18 votes) Log in to rate,[],NR,47.8597,-123.9337,127,http://www.wta.org/go-hiking/hikes/hoh-river
51,East Bank Baker Lake,North Cascades,NR,NR,3.20 out of 5,(10 votes) Log in to rate,[],NR,48.7507,-121.5560,168,http://www.wta.org/go-hiking/hikes/baker-lake
52,Eagle Creek,Southwest Washington,NR,NR,4.67 out of 5,(6 votes) Log in to rate,[],NR,45.6383,-121.9203,33,http://www.wta.org/go-hiking/hikes/eagle-creek-1
53,Mercer Slough Nature Park Trails,Puget Sound and Islands,NR,NR,3.20 out of 5,(5 votes) Log in to rate,[],NR,47.5915,-122.1933,16,http://www.wta.org/go-hiking/hikes/mercer-slough-nature-park-trails
54,Rockport State Park,North Cascades,NR,NR,3.78 out of 5,(9 votes) Log in to rate,[],NR,48.4880,-121.6142,47,http://www.wta.org/go-hiking/hikes/rockport-state-park
55,Red Mountain (Painted Mountain),North Cascades,NR,NR,3.33 out of 5,(6 votes) Log in to rate,[],NR,48.0588,-121.2899,101,http://www.wta.org/go-hiking/hikes/red-mountain
56,Snow Bowl Hut Snowshoe,Mount Rainier Area,NR,NR,5.00 out of 5,(3 votes) Log in to rate,[],NR,46.7059,-121.9927,13,http://www.wta.org/go-hiking/hikes/snow-bowl-hut-snowshoe
57,Snow Mountain Ranch,Central Washington,NR,NR,3.00 out of 5,(5 votes) Log in to rate,[],NR,46.6593,-120.7556,78,http://www.wta.org/go-hiking/hikes/snow-mountain-ranch
58,Coal Creek Falls,Issaquah Alps,NR,NR,3.29 out of 5,(35 votes) Log in to rate,[],NR,47.5348,-122.1288,173,http://www.wta.org/go-hiking/hikes/coal-creek-falls
59,Twin Falls,Snoqualmie Region,NR,NR,4.17 out of 5,(137 votes) Log in to rate,[],NR,47.4420,-121.6761,470,http://www.wta.org/go-hiking/hikes/twin-falls-state-park
60,River To Rock Trail,Southwest Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,45.6214,-122.0233,4,http://www.wta.org/go-hiking/hikes/river-to-rock-trail
61,Windy Peak,North Cascades,NR,NR,3.75 out of 5,(4 votes) Log in to rate,[],NR,48.8555,-119.9452,10,http://www.wta.org/go-hiking/hikes/windy-peak
62,Waptus River,Snoqualmie Region,NR,NR,3.00 out of 5,(8 votes) Log in to rate,[],NR,47.4092,-121.1038,105,http://www.wta.org/go-hiking/hikes/waptus-river
63,Lyman Lakes,Central Cascades,NR,NR,3.00 out of 5,(7 votes) Log in to rate,[],NR,48.1984,-120.7746,12,http://www.wta.org/go-hiking/hikes/lyman-lakes
64,Deer Park,North Cascades,NR,NR,2.25 out of 5,(4 votes) Log in to rate,[],NR,48.9086,-119.9041,3,http://www.wta.org/go-hiking/hikes/deer-park
65,Beth Lake,Eastern Washington,NR,NR,3.00 out of 5,(5 votes) Log in to rate,[],NR,48.8494,-118.9674,1,http://www.wta.org/go-hiking/hikes/beth-lake
66,Cabin Trail,Eastern Washington,NR,NR,4.25 out of 5,(4 votes) Log in to rate,[],NR,48.7709,-119.1838,0,http://www.wta.org/go-hiking/hikes/cabin-trail
67,Big Tree Trail,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.8526,-119.0491,2,http://www.wta.org/go-hiking/hikes/big-tree-trail-2
68,Strawberry Mountain,Eastern Washington,NR,NR,2.00 out of 5,(3 votes) Log in to rate,[],NR,48.8526,-119.0491,3,http://www.wta.org/go-hiking/hikes/strawberry
69,Lewisville Regional Park,Southwest Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,45.8190,-122.5452,1,http://www.wta.org/go-hiking/hikes/lewisville-regional-park
70,Salmon Creek Trail,Southwest Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,45.7075,-122.6658,12,http://www.wta.org/go-hiking/hikes/salmon-creek-trail
71,Frenchman's Bar,Southwest Washington,NR,NR,3.00 out of 5,(1 vote) Log in to rate,[],NR,45.6855,-122.7614,0,http://www.wta.org/go-hiking/hikes/frenchmans-bar
72,Vancouver Lake - North Trail,Southwest Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,45.6790,-122.7429,7,http://www.wta.org/go-hiking/hikes/vancouver-lake
73,Tarbell Trail,Southwest Washington,NR,NR,2.33 out of 5,(3 votes) Log in to rate,[],NR,45.7757,-122.3378,20,http://www.wta.org/go-hiking/hikes/tarbell-trail
74,Bare Mountain,Snoqualmie Region,NR,NR,4.00 out of 5,(16 votes) Log in to rate,[],NR,47.6395,-121.5283,177,http://www.wta.org/go-hiking/hikes/bare-mountain
75,Carkeek Park,Puget Sound and Islands,NR,NR,3.57 out of 5,(7 votes) Log in to rate,[],NR,47.7033,-122.3634,49,http://www.wta.org/go-hiking/hikes/carkeek-park
76,Pacific Crest Trail (PCT) Section J - Snoqualmie Pass to Stevens Pass - East,Snoqualmie Region,NR,NR,4.50 out of 5,(8 votes) Log in to rate,[],NR,47.4278,-121.4135,129,http://www.wta.org/go-hiking/hikes/pacific-crest-trail-section-j-snoqualmie-pass-to-stevens-pass-east
77,The Enchantments,Central Cascades,NR,NR,4.55 out of 5,(76 votes) Log in to rate,[],NR,47.5279,-120.8207,366,http://www.wta.org/go-hiking/hikes/enchantment-lakes
78,West Tiger 3,Issaquah Alps,NR,NR,3.30 out of 5,(23 votes) Log in to rate,[],NR,47.5296,-121.9956,364,http://www.wta.org/go-hiking/hikes/west-tiger-3
79,Camp Muir,Mount Rainier Area,NR,NR,4.37 out of 5,(27 votes) Log in to rate,[],NR,46.7860,-121.7350,271,http://www.wta.org/go-hiking/hikes/camp-muir
80,Rattlesnake Dance Ridge Trail,Central Washington,NR,NR,4.00 out of 5,(1 vote) Log in to rate,[],NR,46.8973,-120.5039,42,http://www.wta.org/go-hiking/hikes/rattlesnake-dance-ridge-trail
81,Mount Si,Snoqualmie Region,NR,NR,4.02 out of 5,(163 votes) Log in to rate,[],NR,47.4880,-121.7231,1212,http://www.wta.org/go-hiking/hikes/mount-si
82,Cherry Creek Falls,Central Cascades,NR,NR,3.71 out of 5,(17 votes) Log in to rate,[],NR,47.7457,-121.9076,196,http://www.wta.org/go-hiking/hikes/cherry-creek-falls
83,Westberg Trail,Central Washington,NR,NR,3.78 out of 5,(9 votes) Log in to rate,[],NR,46.9679,-120.6454,51,http://www.wta.org/go-hiking/hikes/westberg-trail
84,Notch Pass,Olympic Peninsula,NR,NR,4.00 out of 5,(6 votes) Log in to rate,[],NR,47.8262,-122.9389,50,http://www.wta.org/go-hiking/hikes/notch-pass
85,Rialto Beach and Hole-in-the-Wall,Olympic Peninsula,NR,NR,4.06 out of 5,(17 votes) Log in to rate,[],NR,47.9211,-124.6382,80,http://www.wta.org/go-hiking/hikes/rialto-beach-hole-in-the-wall
86,Yakima Sportsman State Park,Central Washington,NR,NR,4.00 out of 5,(2 votes) Log in to rate,[],NR,46.5919,-120.4533,3,http://www.wta.org/go-hiking/hikes/yakima-sportsman-state-park
87,Hilburn Preserve,Olympic Peninsula,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.2087,-123.1374,1,http://www.wta.org/go-hiking/hikes/hilburn-preserve
88,Lanham Lake Snowshoe,Central Cascades,NR,NR,3.44 out of 5,(9 votes) Log in to rate,[],NR,47.7727,-121.0125,65,http://www.wta.org/go-hiking/hikes/lanham-lake-snowshoe
89,Kettle Crest Trail,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.4960,-118.4079,2,http://www.wta.org/go-hiking/hikes/kettle-crest-trail
90,Lewis and Clark Trail State Park,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,46.2896,-118.0713,0,http://www.wta.org/go-hiking/hikes/lewis-and-clark-trail-state-park
91,South Hill Bluff,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.6286,-117.4297,0,http://www.wta.org/go-hiking/hikes/south-hill-bluff
92,Kalispell Rock,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.6337,-117.1017,1,http://www.wta.org/go-hiking/hikes/kalispell-rock
93,Roosevelt Grove of Ancient Cedars,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.7665,-117.0624,0,http://www.wta.org/go-hiking/hikes/roosevelt-grove-of-ancient-cedars
94,Midnight Mountain,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.7285,-118.5216,0,http://www.wta.org/go-hiking/hikes/midnight-mountain
95,Curlew Lake State Park - Curlew Lake Nature Trail,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.7178,-118.6641,0,http://www.wta.org/go-hiking/hikes/curlew-lake-nature-trail
96,Ghost Lake,South Cascades,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,46.3051,-122.0826,0,http://www.wta.org/go-hiking/hikes/ghost-lake
97,Dry Creek Falls,Southwest Washington,NR,NR,4.00 out of 5,(2 votes) Log in to rate,[],NR,45.6624,-121.8965,1,http://www.wta.org/go-hiking/hikes/dry-creek-falls
98,Bear Lake,Southwest Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,45.6363,-121.7426,0,http://www.wta.org/go-hiking/hikes/bear-lake-3
99,Stacker Butte,Southwest Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,45.6949,-121.0925,2,http://www.wta.org/go-hiking/hikes/stacker-butte
100,Bell Point and English Camp,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.5865,-123.1479,3,http://www.wta.org/go-hiking/hikes/bell-point-and-english-camp
101,Coast Trail: Mount Maguire Loop,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.3534,-123.7020,0,http://www.wta.org/go-hiking/hikes/coast-trail-mount-maguire-loop
102,Goldstream Provincial Park: Grand Loop,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.4799,-123.5483,0,http://www.wta.org/go-hiking/hikes/goldstream-provincial-park-grand-loop
103,King Sisters Preserve,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.5292,-123.0989,0,http://www.wta.org/go-hiking/hikes/king-sisters-preserve
104,Frazer Homestead Preserve,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.4649,-123.0243,0,http://www.wta.org/go-hiking/hikes/frazer-homestead-preserve
105,Briggs Lake,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.5977,-123.1317,0,http://www.wta.org/go-hiking/hikes/briggs-lake
106,American Camp and South Beach,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.4645,-123.0239,1,http://www.wta.org/go-hiking/hikes/american-camp-and-south-beach
107,Strawberry Bay and Reef Point,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.5867,-122.6955,0,http://www.wta.org/go-hiking/hikes/strawberry-bay-and-reef-point
108,Big Beaver Pond,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.4916,-122.6363,0,http://www.wta.org/go-hiking/hikes/big-beaver-pond
109,Guemes Channel and Ship Harbor,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.5036,-122.6706,0,http://www.wta.org/go-hiking/hikes/guemes-channel-and-ship-harbor
110,George C Reifel Migratory Bird Sanctuary,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,49.0985,-123.1784,1,http://www.wta.org/go-hiking/hikes/george-c-reifel-migratory-bird-sanctuary
111,Cascade Falls,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.6480,-122.8460,0,http://www.wta.org/go-hiking/hikes/cascade-falls
112,Sunrise Rock,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.6480,-122.8460,0,http://www.wta.org/go-hiking/hikes/sunrise-rock
113,Washington Park,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.4991,-122.6927,2,http://www.wta.org/go-hiking/hikes/washington-park
114,Turtleback Mountain Preserve: Ship Peak Loop,Puget Sound and Islands,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,48.6416,-122.9771,11,http://www.wta.org/go-hiking/hikes/turtleback-mountain-preserve-ship-peak-loop
115,Colquhoun Peak,Mount Rainier Area,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.1322,-121.4598,6,http://www.wta.org/go-hiking/hikes/colquhon-peak
116,Pyramid Peak,Mount Rainier Area,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.1157,-121.4064,5,http://www.wta.org/go-hiking/hikes/pyramid-peak
117,Echo Mountain,Puget Sound and Islands,NR,NR,2.00 out of 5,(1 vote) Log in to rate,[],NR,47.4370,-122.0941,10,http://www.wta.org/go-hiking/hikes/echo-mountain
118,Oneonta Gorge,Southwest Washington,NR,NR,4.00 out of 5,(3 votes) Log in to rate,[],NR,45.5908,-122.0685,9,http://www.wta.org/go-hiking/hikes/oneonta-gorge
119,Elowah and Upper McCord Creek Falls,Southwest Washington,NR,NR,4.00 out of 5,(2 votes) Log in to rate,[],NR,45.6124,-122.0043,4,http://www.wta.org/go-hiking/hikes/elowah-and-upper-mccord-creek-falls
120,Latourell Falls,Southwest Washington,NR,NR,3.00 out of 5,(2 votes) Log in to rate,[],NR,45.5387,-122.2177,4,http://www.wta.org/go-hiking/hikes/latourell-falls
121,Multnomah Falls,Southwest Washington,NR,NR,3.67 out of 5,(6 votes) Log in to rate,[],NR,45.5774,-122.1167,22,http://www.wta.org/go-hiking/hikes/multnomah-falls
122,Dewey Lake,Mount Rainier Area,NR,NR,3.75 out of 5,(20 votes) Log in to rate,[],NR,46.8694,-121.5197,115,http://www.wta.org/go-hiking/hikes/dewey-lakes
123,Surprise Lake,South Cascades,NR,NR,3.45 out of 5,(11 votes) Log in to rate,[],NR,46.4930,-121.3068,22,http://www.wta.org/go-hiking/hikes/surprise-lake-2
124,Big Four Ice Caves,North Cascades,NR,NR,3.93 out of 5,(74 votes) Log in to rate,[],NR,48.0659,-121.5107,400,http://www.wta.org/go-hiking/hikes/big-four-ice-caves
125,Ape Caves,South Cascades,NR,NR,4.41 out of 5,(39 votes) Log in to rate,[],NR,46.1083,-122.2115,113,http://www.wta.org/go-hiking/hikes/ape-cave
126,Badger Mountain - Skyline Loop,Central Washington,NR,NR,4.13 out of 5,(8 votes) Log in to rate,[],NR,46.2367,-119.2976,18,http://www.wta.org/go-hiking/hikes/badger-mountain-1
127,Mailbox Peak - Old Trail,Snoqualmie Region,NR,NR,4.34 out of 5,(100 votes) Log in to rate,[],NR,47.4674,-121.6748,883,http://www.wta.org/go-hiking/hikes/mailbox-peak-old-trail
128,Mount Pilchuck,North Cascades,NR,NR,4.44 out of 5,(103 votes) Log in to rate,[],NR,48.0621,-121.8107,940,http://www.wta.org/go-hiking/hikes/mount-pilchuck
129,Panther Creek Falls,Southwest Washington,NR,NR,5.00 out of 5,(2 votes) Log in to rate,[],NR,45.8674,-121.8263,12,http://www.wta.org/go-hiking/hikes/panther-creek-falls
130,Cape Alava Loop (Ozette Triangle),Olympic Peninsula,NR,NR,4.11 out of 5,(36 votes) Log in to rate,[],NR,48.1536,-124.6679,205,http://www.wta.org/go-hiking/hikes/lake-ozette
131,Middle Fork Snoqualmie River,Snoqualmie Region,NR,NR,3.75 out of 5,(20 votes) Log in to rate,[],NR,47.5480,-121.5384,313,http://www.wta.org/go-hiking/hikes/middle-fork-snoqualmie-upstream
132,Heather - Maple Pass Loop,North Cascades,NR,NR,4.71 out of 5,(51 votes) Log in to rate,[],NR,48.5162,-120.7354,350,http://www.wta.org/go-hiking/hikes/maple-pass
133,Boulder River,North Cascades,NR,NR,3.80 out of 5,(89 votes) Log in to rate,[],NR,48.2509,-121.8172,556,http://www.wta.org/go-hiking/hikes/boulder-river
134,Colchuck Lake,Central Cascades,NR,NR,4.23 out of 5,(57 votes) Log in to rate,[],NR,47.5277,-120.8210,538,http://www.wta.org/go-hiking/hikes/colchuck-lake
135,Central Peak,Issaquah Alps,NR,NR,2.80 out of 5,(5 votes) Log in to rate,[],NR,47.4817,-122.0532,97,http://www.wta.org/go-hiking/hikes/central-peak
136,Bullitt Fireplace Trail,Issaquah Alps,NR,NR,1.80 out of 5,(5 votes) Log in to rate,[],NR,47.5211,-122.0560,100,http://www.wta.org/go-hiking/hikes/bullitt-fireplace
137,Bridal Veil Falls,Central Cascades,NR,NR,3.78 out of 5,(36 votes) Log in to rate,[],NR,47.7818,-121.5884,199,http://www.wta.org/go-hiking/hikes/bridal-veil-falls
138,Thornton Lakes and Trappers Peak,North Cascades,NR,NR,4.31 out of 5,(16 votes) Log in to rate,[],NR,48.6537,-121.3242,88,http://www.wta.org/go-hiking/hikes/thornton-lakes-and-trappers-peak
139,Blanca Lake,Central Cascades,NR,NR,4.38 out of 5,(105 votes) Log in to rate,[],NR,47.9154,-121.3124,511,http://www.wta.org/go-hiking/hikes/blanca-lake
140,Aasgard Pass,Central Cascades,NR,NR,3.67 out of 5,(3 votes) Log in to rate,[],NR,47.5279,-120.8207,118,http://www.wta.org/go-hiking/hikes/aasgard-pass
141,Kendall Katwalk,Snoqualmie Region,NR,NR,3.98 out of 5,(48 votes) Log in to rate,[],NR,47.4287,-121.4134,380,http://www.wta.org/go-hiking/hikes/kendall-katwalk
